date,close,eps,revenue,symbol
3/16/2018 16:00,15.49,3.88,1420,CSIQ
3/19/2018 16:00,16.6,3.88,1420,CSIQ
3/20/2018 16:00,16.72,3.88,1420,CSIQ
3/21/2018 16:00,17.15,3.88,1420,CSIQ
3/22/2018 16:00,16.94,3.88,1420,CSIQ
3/23/2018 16:00,17.08,3.88,1420,CSIQ
3/26/2018 16:00,17.51,3.88,1420,CSIQ
3/27/2018 16:00,16.48,3.88,1420,CSIQ
3/28/2018 16:00,15.92,3.88,1420,CSIQ
3/29/2018 16:00,16.27,3.88,1420,CSIQ
4/2/2018 16:00,16.3,3.88,484.7,CSIQ
4/3/2018 16:00,15.85,3.88,484.7,CSIQ
4/4/2018 16:00,15.98,3.88,484.7,CSIQ
4/5/2018 16:00,16.31,3.88,484.7,CSIQ
4/6/2018 16:00,16.13,3.88,484.7,CSIQ
4/9/2018 16:00,16.02,3.88,484.7,CSIQ
4/10/2018 16:00,16.05,3.88,484.7,CSIQ
4/11/2018 16:00,16.13,3.88,484.7,CSIQ
4/12/2018 16:00,16.16,3.88,484.7,CSIQ
4/13/2018 16:00,16.2,3.88,484.7,CSIQ
4/16/2018 16:00,16.05,3.88,484.7,CSIQ
4/17/2018 16:00,16.14,3.88,484.7,CSIQ
4/18/2018 16:00,16.25,3.88,484.7,CSIQ
4/19/2018 16:00,16.05,3.88,484.7,CSIQ
4/20/2018 16:00,15.89,3.88,484.7,CSIQ
4/23/2018 16:00,15.53,3.88,484.7,CSIQ
4/24/2018 16:00,15.36,3.88,484.7,CSIQ
4/25/2018 16:00,15.13,3.88,484.7,CSIQ
4/26/2018 16:00,15.3,3.88,484.7,CSIQ
4/27/2018 16:00,15.9,3.88,484.7,CSIQ
4/30/2018 16:00,15.63,3.88,484.7,CSIQ
5/1/2018 16:00,15.39,3.88,484.7,CSIQ
5/2/2018 16:00,15.48,3.88,484.7,CSIQ
5/3/2018 16:00,15.14,3.88,484.7,CSIQ
5/4/2018 16:00,15.32,3.88,484.7,CSIQ
5/7/2018 16:00,15.75,3.88,484.7,CSIQ
5/8/2018 16:00,15.72,3.88,484.7,CSIQ
5/9/2018 16:00,16.26,3.88,484.7,CSIQ
5/10/2018 16:00,16.73,3.88,484.7,CSIQ
5/11/2018 16:00,16.65,3.88,484.7,CSIQ
5/14/2018 16:00,16.71,3.88,484.7,CSIQ
5/15/2018 16:00,16.79,3.88,484.7,CSIQ
5/16/2018 16:00,17.56,3.88,484.7,CSIQ
5/17/2018 16:00,17.45,3.88,484.7,CSIQ
5/18/2018 16:00,17.24,3.88,484.7,CSIQ
5/21/2018 16:00,17.73,3.88,484.7,CSIQ
5/22/2018 16:00,17.18,3.88,484.7,CSIQ
5/23/2018 16:00,16.92,3.88,484.7,CSIQ
5/24/2018 16:00,16.72,3.88,484.7,CSIQ
5/25/2018 16:00,16.68,3.88,484.7,CSIQ
5/29/2018 16:00,16.94,3.88,484.7,CSIQ
5/30/2018 16:00,16.89,3.88,484.7,CSIQ
5/31/2018 16:00,16.61,3.88,484.7,CSIQ
6/1/2018 16:00,15.69,3.88,484.7,CSIQ
6/4/2018 16:00,13.52,3.88,484.7,CSIQ
6/5/2018 16:00,13.09,3.88,484.7,CSIQ
6/6/2018 16:00,12.44,3.88,484.7,CSIQ
6/7/2018 16:00,12.24,3.88,484.7,CSIQ
6/8/2018 16:00,12.34,3.88,484.7,CSIQ
6/11/2018 16:00,12.2,3.88,484.7,CSIQ
6/12/2018 16:00,12.4,3.88,484.7,CSIQ
6/13/2018 16:00,12.37,3.88,484.7,CSIQ
6/14/2018 16:00,12.46,3.88,484.7,CSIQ
6/15/2018 16:00,11.95,3.88,484.7,CSIQ
6/18/2018 16:00,11.97,3.88,484.7,CSIQ
6/19/2018 16:00,11.87,3.88,484.7,CSIQ
6/20/2018 16:00,12.29,3.88,484.7,CSIQ
6/21/2018 16:00,12.41,3.88,484.7,CSIQ
6/22/2018 16:00,12.49,3.88,484.7,CSIQ
6/25/2018 16:00,12.39,3.88,484.7,CSIQ
6/26/2018 16:00,12.15,3.88,484.7,CSIQ
6/27/2018 16:00,11.92,3.88,484.7,CSIQ
6/28/2018 16:00,12.32,3.88,484.7,CSIQ
6/29/2018 16:00,12.24,3.88,484.7,CSIQ
7/2/2018 16:00,12.47,3.88,1000,CSIQ
7/3/2018 13:00,12.2,3.88,1000,CSIQ
7/5/2018 16:00,12.41,3.88,1000,CSIQ
7/6/2018 16:00,12.76,3.88,1000,CSIQ
7/9/2018 16:00,13.07,3.88,1000,CSIQ
7/10/2018 16:00,13.22,3.88,1000,CSIQ
7/11/2018 16:00,13.02,3.88,1000,CSIQ
7/12/2018 16:00,13.06,3.88,1000,CSIQ
7/13/2018 16:00,13.1,3.88,1000,CSIQ
7/16/2018 16:00,12.85,3.88,1000,CSIQ
7/17/2018 16:00,12.67,3.88,1000,CSIQ
7/18/2018 16:00,12.83,3.88,1000,CSIQ
7/19/2018 16:00,13.07,3.88,1000,CSIQ
7/20/2018 16:00,12.78,3.88,1000,CSIQ
7/23/2018 16:00,12.56,3.88,1000,CSIQ
7/24/2018 16:00,13.04,3.88,1000,CSIQ
7/25/2018 16:00,13.38,3.88,1000,CSIQ
7/26/2018 16:00,13.36,3.88,1000,CSIQ
7/27/2018 16:00,13.18,3.88,1000,CSIQ
